temporada,n_incendios,superficie_afectada,superficie_promedio
1964,435,19600,45.1
1965,269,17200,63.9
1966,396,19900,50.3
1967,307,15820,51.5
1968,507,61314,120.9
1969,807,34747,43.1
1970,551,16725,30.4
1971,669,22603,33.8
1972,1172,81570,69.6
1973,1214,42763,35.2
1974,1332,19162,14.4
1975,1630,9604,5.9
1976,2785,24266,8.7
1977,1909,26458,13.9
1978,3380,29963,8.9
1979,4718,76215,16.2
1980,2977,22535,7.6
1981,4197,32056,7.6
1982,4520,26842,5.9
1983,4782,45748,9.6
1984,6252,80191,12.8
1985,5223,47572,9.1
1986,5421,67414,12.4
1987,5195,97055,18.7
1988,5202,85837,16.5
1989,5245,88062,16.8
1990,4116,25545,6.2
1991,5194,50273,9.7
1992,4788,24224,5.1
1993,6118,49981,8.2
1994,6214,65606,10.6
1995,5356,26174,4.9
1996,5886,40081,6.8
1997,5493,43592,7.9
1998,5332,90887,17.0
1999,6831,101691,14.9
2000,5252,17183,3.3
2001,5376,10921,2.0
2002,6701,90069,13.4
2003,7572,41988,5.5
2004,6430,50687,7.9
2005,6653,65300,9.8
2006,5397,19349,3.6
2007,5143,43404,8.4
2008,6976,42063,6.0
2009,6157,64875,10.5
2010,4069,58364,14.3
2011,4952,47040,9.5
2012,5509,90279,16.4
2013,5651,17109,3.0
2014,6335,105992,16.7
2015,8048,128654,16.0
2016,6784,42097,6.2
2017,5274,570197,108.1
2018,6081,39554,6.5
2019,7219,80064,11.1
2020,8127,102292,12.6
