month,week_day,week_number,body_part,intensity,workout_type,duration,rest_days
01,2,0,No,No,No,No,-
01,3,0,No,No,No,No,-
01,4,0,No,No,No,No,-
01,5,0,No,No,No,No,-
01,6,0,No,No,No,No,-
01,0,1,No,No,No,No,-
01,1,1,No,No,No,No,-
01,2,1,No,No,No,No,-
01,3,1,No,No,No,No,-
01,4,1,No,No,No,No,-
01,5,1,No,No,No,No,-
01,6,1,No,No,No,No,-
01,0,2,No,No,No,No,-
01,1,2,No,No,No,No,-
01,2,2,No,No,No,No,-
01,3,2,No,No,No,No,-
01,4,2,No,No,No,No,-
01,5,2,No,No,No,No,-
01,6,2,No,No,No,No,-
01,0,3,No,No,No,No,-
01,1,3,No,No,No,No,-
01,2,3,No,No,No,No,-
01,3,3,No,No,No,No,-
01,4,3,No,No,No,No,-
01,5,3,No,No,No,No,-
01,6,3,No,No,No,No,-
01,0,4,No,No,No,No,-
01,1,4,No,No,No,No,-
01,2,4,No,No,No,No,-
01,3,4,No,No,No,No,-
01,4,4,No,No,No,No,-
02,5,0,No,No,No,No,-
02,6,0,No,No,No,No,-
02,0,1,No,No,No,No,-
02,1,1,No,No,No,No,-
02,2,1,No,No,No,No,-
02,3,1,No,No,No,No,-
02,4,1,No,No,No,No,-
02,5,1,No,No,No,No,-
02,6,1,No,No,No,No,-
02,0,2,No,No,No,No,-
02,1,2,No,No,No,No,-
02,2,2,No,No,No,No,-
02,3,2,No,No,No,No,-
02,4,2,No,No,No,No,-
02,5,2,No,No,No,No,-
02,6,2,No,No,No,No,-
02,0,3,No,No,No,No,-
02,1,3,No,No,No,No,-
02,2,3,No,No,No,No,-
02,3,3,No,No,No,No,-
02,4,3,No,No,No,No,-
02,5,3,No,No,No,No,-
02,6,3,No,No,No,No,-
02,0,4,No,No,No,No,-
02,1,4,No,No,No,No,-
02,2,4,No,No,No,No,-
02,3,4,No,No,No,No,-
02,4,4,No,No,No,No,-
02,5,4,No,No,No,No,-
03,6,0,No,No,No,No,-
03,0,1,No,No,No,No,-
03,1,1,No,No,No,No,-
03,2,1,No,No,No,No,-
03,3,1,No,No,No,No,-
03,4,1,No,No,No,No,-
03,5,1,No,No,No,No,-
03,6,1,No,No,No,No,-
03,0,2,No,No,No,No,-
03,1,2,No,No,No,No,-
03,2,2,No,No,No,No,-
03,3,2,No,No,No,No,-
03,4,2,No,No,No,No,-
03,5,2,No,No,No,No,-
03,6,2,No,No,No,No,-
03,0,3,No,No,No,No,-
03,1,3,No,No,No,No,-
03,2,3,No,No,No,No,-
03,3,3,No,No,No,No,-
03,4,3,No,No,No,No,-
03,5,3,No,No,No,No,-
03,6,3,No,No,No,No,-
03,0,4,No,No,No,No,-
03,1,4,No,No,No,No,-
03,2,4,No,No,No,No,-
03,3,4,No,No,No,No,-
03,4,4,No,No,No,No,-
03,5,4,No,No,No,No,-
03,6,4,No,No,No,No,-
03,0,5,No,No,No,No,-
03,1,5,No,No,No,No,-
04,2,0,No,No,No,No,-
04,3,0,No,No,No,No,-
04,4,0,No,No,No,No,-
04,5,0,No,No,No,No,-
04,6,0,No,No,No,No,-
04,0,1,No,No,No,No,-
04,1,1,No,No,No,No,-
04,2,1,No,No,No,No,-
04,3,1,No,No,No,No,-
04,4,1,No,No,No,No,-
04,5,1,No,No,No,No,-
04,6,1,No,No,No,No,-
04,0,2,No,No,No,No,-
04,1,2,No,No,No,No,-
04,2,2,No,No,No,No,-
04,3,2,No,No,No,No,-
04,4,2,No,No,No,No,-
04,5,2,No,No,No,No,-
04,6,2,No,No,No,No,-
04,0,3,No,No,No,No,-
04,1,3,No,No,No,No,-
04,2,3,No,No,No,No,-
04,3,3,No,No,No,No,-
04,4,3,No,No,No,No,-
04,5,3,No,No,No,No,-
04,6,3,No,No,No,No,-
04,0,4,No,No,No,No,-
04,1,4,No,No,No,No,-
04,2,4,No,No,No,No,-
04,3,4,No,No,No,No,-
05,4,0,No,No,No,No,-
05,5,0,No,No,No,No,-
05,6,0,No,No,No,No,-
05,0,1,No,No,No,No,-
05,1,1,No,No,No,No,-
05,2,1,No,No,No,No,-
05,3,1,No,No,No,No,-
05,4,1,No,No,No,No,-
05,5,1,No,No,No,No,-
05,6,1,No,No,No,No,-
05,0,2,No,No,No,No,-
05,1,2,No,No,No,No,-
05,2,2,No,No,No,No,-
05,3,2,No,No,No,No,-
05,4,2,No,No,No,No,-
05,5,2,No,No,No,No,-
05,6,2,No,No,No,No,-
05,0,3,No,No,No,No,-
05,1,3,No,No,No,No,-
05,2,3,No,No,No,No,-
05,3,3,No,No,No,No,-
05,4,3,No,No,No,No,-
05,5,3,No,No,No,No,-
05,6,3,No,No,No,No,-
05,0,4,No,No,No,No,-
05,1,4,No,No,No,No,-
5,2,4,lower_body,4,strength,40,-
5,3,4,upper_body,4,cardio,43,0
05,4,4,No,No,No,No,-
5,5,4,core,3,strength,40,1
5,6,4,total,2,stretching,26,0
6,0,0,lower_body,4,strength,45,0
06,1,0,No,No,No,No,-
6,2,0,upper_body,4,strength,40,1
6,3,0,lower_body,4,cardio,34,0
06,4,0,No,No,No,No,-
6,5,0,core,3,cardio,39,1
6,6,0,total,1,stretching,26,0
6,0,1,lower_body,5,cardio,40,0
06,1,1,No,No,No,No,-
6,2,1,total,4,cardio,32,1
06,3,1,No,No,No,No,-
6,4,1,core,4,strength,46,1
06,5,1,No,No,No,No,-
6,6,1,lower_body,5,strength,50,1
6,0,2,total,1,stretching,26,0
06,1,2,No,No,No,No,-
6,2,2,upper_body,3,strength,38,1
6,3,2,lower_body,4,strength,52,0
06,4,2,No,No,No,No,-
06,5,2,No,No,No,No,-
6,6,2,lower_body,4,strength,33,2
6,0,3,upper_body,4,strength,33,0
06,1,3,No,No,No,No,-
6,2,3,core,3,strength,30,1
6,3,3,lower_body,3,strength,59,0
06,4,3,No,No,No,No,-
6,5,3,total,3,cardio,30,1
6,6,3,lower_body,3,strength,46,0
06,0,4,No,No,No,No,-
6,1,4,upper_body,3,strength,38,1
7,2,0,lower_body,5,strength,52,0
07,3,0,No,No,No,No,-
07,4,0,No,No,No,No,-
7,5,0,core,4,cardio,40,2
7,6,0,lower_body,4,strength,40,0
07,0,1,No,No,No,No,-
7,1,1,upper_body,4,strength,40,1
7,2,1,lower_body,4,strength,33,0
7,3,1,total,1,stretching,26,0
07,4,1,No,No,No,No,-
7,5,1,core,4,strength,34,1
7,6,1,lower_body,4,strength,34,0
07,0,2,No,No,No,No,-
7,1,2,lower_body,4,cardio,37,1
07,2,2,No,No,No,No,-
7,3,2,total,1,stretching,26,1
7,4,2,core,4,cardio,39,0
07,5,2,No,No,No,No,-
7,6,2,lower_body,4,strength,33,1
07,0,3,No,No,No,No,-
07,1,3,No,No,No,No,-
07,2,3,No,No,No,No,-
07,3,3,No,No,No,No,-
07,4,3,No,No,No,No,-
07,5,3,No,No,No,No,-
7,6,3,lower_body,4,strength,36,6
07,0,4,No,No,No,No,-
07,1,4,No,No,No,No,-
07,2,4,No,No,No,No,-
7,3,4,upper_body,4,strength,35,3
07,4,4,No,No,No,No,-
08,5,0,No,No,No,No,-
08,6,0,No,No,No,No,-
8,0,1,lower_body,2,pilates,31,3
8,1,1,core,3,strength,30,0
08,2,1,No,No,No,No,-
08,3,1,No,No,No,No,-
8,4,1,lower_body,4,strength,40,2
08,5,1,No,No,No,No,-
8,6,1,upper_body,3,strength,28,1
08,0,2,No,No,No,No,-
8,1,2,lower_body,4,strength,34,1
08,2,2,No,No,No,No,-
8,3,2,core,3,strength,39,1
08,4,2,No,No,No,No,-
8,5,2,total,1,stretching,26,1
08,6,2,No,No,No,No,-
8,0,3,lower_body,4,strength,37,1
8,1,3,total,1,stretching,26,0
8,2,3,upper_body,3,strength,35,0
08,3,3,No,No,No,No,-
8,4,3,total,4,cardio,24,1
08,5,3,No,No,No,No,-
08,6,3,No,No,No,No,-
08,0,4,No,No,No,No,-
8,1,4,lower_body,4,strength,36,3
08,2,4,No,No,No,No,-
8,3,4,upper_body,4,cardio,30,1
08,4,4,No,No,No,No,-
8,5,4,lower_body,4,strength,33,1
08,6,4,No,No,No,No,-
8,0,5,upper_body,4,cardio,37,1
09,1,0,No,No,No,No,-
9,2,0,core,4,cardio,37,1
09,3,0,No,No,No,No,-
9,4,0,lower_body,4,strength,40,1
09,5,0,No,No,No,No,-
9,6,0,upper_body,4,strength,33,1
9,0,1,lower_body,4,cardio,37,0
9,1,1,total,2,pilates,27,0
9,2,1,core,4,strength,33,0
09,3,1,No,No,No,No,-
9,4,1,lower_body,4,strength,33,1
09,5,1,No,No,No,No,-
09,6,1,No,No,No,No,-
9,0,2,lower_body,4,cardio,37,2
09,1,2,No,No,No,No,-
9,2,2,upper_body,3,strength,35,1
9,3,2,core,3,strength,24,0
09,4,2,No,No,No,No,-
09,5,2,No,No,No,No,-
9,6,2,lower_body,4,strength,40,2
09,0,3,No,No,No,No,-
09,1,3,No,No,No,No,-
9,2,3,upper_body,4,strength,41,2
9,3,3,upper_body,2,strength,17,0
9,4,3,lower_body,5,strength,42,0
09,5,3,No,No,No,No,-
9,6,3,core,3,strength,30,1
09,0,4,No,No,No,No,-
9,1,4,upper_body,4,strength,34,1
9,2,4,lower_body,4,strength,29,0
10,3,0,No,No,No,No,-
10,4,0,core,4,strength,30,1
10,5,0,No,No,No,No,-
10,6,0,No,No,No,No,-
10,0,1,lower_body,4,strength,54,2
10,1,1,upper_body,3,strength,31,0
10,2,1,No,No,No,No,-
10,3,1,core,3,cardio,42,1
10,4,1,No,No,No,No,-
10,5,1,No,No,No,No,-
10,6,1,No,No,No,No,-
10,0,2,No,No,No,No,-
10,1,2,No,No,No,No,-
10,2,2,No,No,No,No,-
10,3,2,No,No,No,No,-
10,4,2,No,No,No,No,-
10,5,2,No,No,No,No,-
10,6,2,No,No,No,No,-
10,0,3,No,No,No,No,-
10,1,3,No,No,No,No,-
10,2,3,No,No,No,No,-
10,3,3,No,No,No,No,-
10,4,3,No,No,No,No,-
10,5,3,No,No,No,No,-
10,6,3,No,No,No,No,-
10,0,4,No,No,No,No,-
10,1,4,No,No,No,No,-
10,2,4,No,No,No,No,-
10,3,4,No,No,No,No,-
10,4,4,lower_body,4,strength,38,-
10,5,4,No,No,No,No,-
11,6,0,upper_body,3,strength,28,1
11,0,1,No,No,No,No,-
11,1,1,No,No,No,No,-
11,2,1,total,1,stretching,26,2
11,3,1,core,4,cardio,33,0
11,4,1,No,No,No,No,-
11,5,1,upper_body,4,strength,35,1
11,6,1,No,No,No,No,-
11,0,2,No,No,No,No,-
11,1,2,lower_body,4,strength,40,1
11,2,2,No,No,No,No,-
11,3,2,No,No,No,No,-
11,4,2,No,No,No,No,-
11,5,2,No,No,No,No,-
11,6,2,No,No,No,No,-
11,0,3,total,4,cardio,50,5
11,1,3,No,No,No,No,-
11,2,3,No,No,No,No,-
11,3,3,No,No,No,No,-
11,4,3,lower_body,4,strength,34,3
11,5,3,No,No,No,No,-
11,6,3,No,No,No,No,-
11,0,4,No,No,No,No,-
11,1,4,No,No,No,No,-
11,2,4,total,3,cardio,30,4
11,3,4,No,No,No,No,-
11,4,4,upper_body,4,strength,39,1
11,5,4,No,No,No,No,-
11,6,4,No,No,No,No,-
11,0,5,lower_body,4,strength,33,2
12,1,0,No,No,No,No,-
12,2,0,core,4,cardio,34,1
12,3,0,No,No,No,No,-
12,4,0,No,No,No,No,-
12,5,0,lower_body,4,strength,37,2
12,6,0,No,No,No,No,-
12,0,1,upper_body,4,cardio,30,1
12,1,1,No,No,No,No,-
12,2,1,No,No,No,No,-
12,3,1,No,No,No,No,-
12,4,1,No,No,No,No,-
12,5,1,No,No,No,No,-
12,6,1,No,No,No,No,-
12,0,2,No,No,No,No,-
12,1,2,No,No,No,No,-
12,2,2,No,No,No,No,-
12,3,2,No,No,No,No,-
12,4,2,No,No,No,No,-
12,5,2,No,No,No,No,-
12,6,2,No,No,No,No,-
12,0,3,No,No,No,No,-
12,1,3,No,No,No,No,-
12,2,3,No,No,No,No,-
12,3,3,No,No,No,No,-
12,4,3,No,No,No,No,-
12,5,3,No,No,No,No,-
12,6,3,No,No,No,No,-
12,0,4,No,No,No,No,-
12,1,4,No,No,No,No,-
12,2,4,No,No,No,No,-
12,3,4,No,No,No,No,-
